Observatory;Data_year;agglomeration;Zone_calcul;Zone_complementaire;Type_habitat;epoque_construction_local;epoque_construction_homogene;anciennete_locataire_local;anciennete_locataire_homogene;nombre_pieces_local;nombre_pieces_homogene;loyer_1_decile;loyer_1_quartile;loyer_median;loyer_3_quartile;loyer_9_decile;loyer_moyen;loyer_mensuel_1_decile;loyer_mensuel_1_quartile;loyer_mensuel_median;loyer_mensuel_3_quartile;loyer_mensuel_9_decile;moyenne_loyer_mensuel;surface_moyenne;nombre_observations;nombre_logements;methodologie_production
B1300;2024;L1300;;;;;;1. Moins de 1 an;;Appart 4P+;;9,3;10,1;11,3;12,7;15,0;11,6;700;790;969;1263;1593;1074;93;663;;Estimation directe
B1300;2024;L1300;;;;;;1. Moins de 1 an;;Ensemble 1P;;14,3;16,4;19,7;22,9;26,8;19,2;398;450;500;565;630;508;26;1649;;Estimation directe
B1300;2024;L1300;;;;;;1. Moins de 1 an;;Ensemble 2P;;11,8;13,5;15,4;17,5;20,0;15,3;500;560;630;700;781;641;42;3435;;Estimation directe
B1300;2024;L1300;;;;;;1. Moins de 1 an;;Ensemble 3P;;10,1;11,6;13,0;14,6;16,8;13,0;620;720;810;931;1100;841;64;2644;;Estimation directe
B1300;2024;L1300;;;;;;1. Moins de 1 an;;Ensemble 4P+;;9,3;10,4;12,1;14,0;16,7;12,4;745;900;1138;1440;1800;1226;99;848;;Estimation directe
B1300;2024;L1300;;;;;;2. 1 an et plus;;;;9,0;10,8;12,8;15,2;17,9;12,3;462;562;700;850;1100;747;61;20223;;Estimation directe
B1300;2024;L1300;;;;;;2. 1 an et plus;;Maison;;8,0;9,9;12,4;14,7;17,3;11,7;600;750;945;1250;1498;1004;86;972;;Estimation directe
B1300;2024;L1300;;;;;;2. 1 an et plus;;Appart 1P;;12,1;14,3;16,7;20,0;23,0;16,6;360;410;470;530;610;476;29;3020;;Estimation directe
B1300;2024;L1300;;;;;;2. 1 an et plus;;Appart 2P;;10,9;12,2;14,3;16,3;18,3;14,1;460;530;600;675;755;609;43;7224;;Estimation directe
B1300;2024;L1300;;;;;;2. 1 an et plus;;Appart 3P;;8,9;10,3;11,8;13,4;15,0;11,8;561;650;745;850;973;760;64;6663;;Estimation directe
B1300;2024;L1300;;;;;;2. 1 an et plus;;Appart 4P+;;7,8;9,3;10,6;12,2;13,8;10,7;640;732;877;1065;1352;946;88;2344;;Estimation directe
B1300;2024;L1300;;;;;;2. 1 an et plus;;Ensemble 1P;;12,2;14,3;16,7;20,0;23,0;16,6;360;410;470;530;610;476;29;3041;;Estimation directe
B1300;2024;L1300;;;;;;2. 1 an et plus;;Ensemble 2P;;10,8;12,3;14,4;16,4;18,7;14,1;460;532;600;681;780;615;43;7345;;Estimation directe
B1300;2024;L1300;;;;;;2. 1 an et plus;;Ensemble 3P;;8,8;10,3;11,9;13,6;15,4;11,9;560;650;750;860;1000;771;65;6972;;Estimation directe
B1300;2024;L1300;;;;;;2. 1 an et plus;;Ensemble 4P+;;8,0;9,4;10,8;12,9;14,6;10,9;654;792;976;1236;1500;1039;96;2865;;Estimation directe
B1300;2024;L1300;;;;;1. Avant 1946;;;;;8,8;10,8;12,9;15,7;18,8;12,2;444;511;630;785;992;691;57;8800;58102;Estimation directe
B1300;2024;L1300;;;;;1. Avant 1946;;;;Ensemble 4P+;6,4;8,7;10,6;12,1;14,4;10,2;640;787;970;1300;1550;1051;104;838;8343;Estimation directe
B1300;2024;L1300;;;;;1. Avant 1946;;;;Ensemble 1P;11,9;14,2;16,9;20,5;23,7;16,8;365;414;478;520;600;479;29;1902;10193;Estimation directe
B1300;2024;L1300;;;;;1. Avant 1946;;;;Ensemble 2P;10,3;12,0;14,0;16,1;18,3;13,7;450;500;580;650;738;586;43;3646;22555;Estimation directe
B1300;2024;L1300;;;;;1. Avant 1946;;;;Ensemble 3P;8,3;9,8;11,6;13,5;15,7;11,5;549;647;730;838;980;755;65;2414;17011;Estimation directe
B1300;2024;L1300;;;;;1. Avant 1946;;1. Moins de 1 an;;;10,1;11,9;14,2;17,3;21,0;13,3;457;535;650;800;1090;723;54;2475;;Estimation directe
B1300;2024;L1300;;;;;1. Avant 1946;;1. Moins de 1 an;;Maison 1-3P;7,8;8,3;13,9;16,1;17,5;11,0;626;680;780;820;996;790;72;52;;Estimation directe
B1300;2024;L1300;;;;;1. Avant 1946;;1. Moins de 1 an;;Maison 4P+;;;;;;;;;;;;;;30;;Estimation directe
B1300;2024;L1300;;;;;1. Avant 1946;;1. Moins de 1 an;;Appart 1P;14,0;16,5;20,0;22,9;26,9;19,4;393;440;492;566;630;508;26;657;;Estimation directe
B1300;2024;L1300;;;;;1. Avant 1946;;1. Moins de 1 an;;Appart 2P;11,1;12,2;14,8;17,1;19,5;14,6;480;530;590;660;740;599;41;1058;;Estimation directe
B1300;2024;L1300;;;;;1. Avant 1946;;1. Moins de 1 an;;Appart 3P;10,3;11,5;12,7;14,0;15,9;12,7;600;702;784;900;1050;803;63;554;;Estimation directe
B1300;2024;L1300;;;;;1. Avant 1946;;1. Moins de 1 an;;Appart 4P+;9,4;10,0;11,2;12,5;14,8;11,2;770;896;1263;1634;2167;1348;121;124;;Estimation directe
B1300;2024;L1300;;;;;1. Avant 1946;;2. 1 an et plus;;;8,5;10,5;12,5;15,2;17,8;11,9;440;505;630;780;976;681;57;6325;;Estimation directe
B1300;2024;L1300;;;;;1. Avant 1946;;2. 1 an et plus;;Maison 1-3P;7,9;9,8;12,5;16,3;19,3;12,8;450;600;750;879;1087;765;60;173;;Estimation directe
B1300;2024;L1300;;;;;1. Avant 1946;;2. 1 an et plus;;Maison 4P+;5,0;9,0;10,7;12,5;14,8;9,9;650;800;980;1160;1500;1029;104;119;;Estimation directe
B1300;2024;L1300;;;;;1. Avant 1946;;2. 1 an et plus;;Appart 1P;11,4;13,4;16,5;19,0;22,2;15,8;360;403;465;511;580;466;30;1235;;Estimation directe
B1300;2024;L1300;;;;;1. Avant 1946;;2. 1 an et plus;;Appart 2P;10,0;11,8;13,5;15,5;17,5;13,4;440;500;568;637;700;573;43;2530;;Estimation directe
B1300;2024;L1300;;;;;1. Avant 1946;;2. 1 an et plus;;Appart 3P;8,2;9,5;11,2;13,1;15,2;11,2;505;601;705;800;920;718;64;1703;;Estimation directe
B1300;2024;L1300;;;;;1. Avant 1946;;2. 1 an et plus;;Appart 4P+;6,4;8,2;10,0;11,7;13,5;10,0;600;720;850;1100;1364;954;96;565;;Estimation directe
B1300;2024;L1300;;;;;2. Entre 1946-1970;;;;;9,1;10,5;12,2;14,8;17,7;12,2;480;570;685;820;1001;733;60;6030;67197;Estimation directe
B1300;2024;L1300;;;;;2. Entre 1946-1970;;;;Ensemble 4P+;8,3;9,3;10,7;12,4;14,5;11,1;620;720;871;1035;1388;959;87;1091;15580;Estimation directe
B1300;2024;L1300;;;;;2. Entre 1946-1970;;;;Ensemble 1P;13,9;15,3;17,2;20,8;25,9;17,7;364;420;480;534;620;482;27;795;7015;Estimation directe
B1300;2024;L1300;;;;;2. Entre 1946-1970;;;;Ensemble 2P;11,1;12,0;14,0;16,7;19,3;14,2;467;525;599;650;750;601;42;1722;17879;Estimation directe
B1300;2024;L1300;;;;;2. Entre 1946-1970;;;;Ensemble 3P;9,0;10,3;11,6;13,1;15,0;11,6;550;639;720;830;980;745;64;2422;26724;Estimation directe
B1300;2024;L1300;;;;;2. Entre 1946-1970;;1. Moins de 1 an;;;10,0;11,5;13,5;16,3;20,0;13,5;500;600;720;900;1100;787;58;1565;;Estimation directe
B1300;2024;L1300;;;;;2. Entre 1946-1970;;1. Moins de 1 an;;Maison 1-3P;;;;;;;;;;;;;;34;;Estimation directe
B1300;2024;L1300;;;;;2. Entre 1946-1970;;1. Moins de 1 an;;Maison 4P+;;;;;;;;;;;;;;30;;Estimation directe
B1300;2024;L1300;;;;;2. Entre 1946-1970;;1. Moins de 1 an;;Appart 1P;14,3;16,2;20,8;22,7;29,7;19,8;406;470;500;570;630;518;26;245;;Estimation directe
B1300;2024;L1300;;;;;2. Entre 1946-1970;;1. Moins de 1 an;;Appart 2P;11,5;13,6;15,4;18,3;20,0;15,5;485;550;600;662;770;618;40;466;;Estimation directe
B1300;2024;L1300;;;;;2. Entre 1946-1970;;1. Moins de 1 an;;Appart 3P;10,0;11,0;12,6;14,2;15,8;12,7;585;665;790;900;1100;798;63;578;;Estimation directe
B1300;2024;L1300;;;;;2. Entre 1946-1970;;1. Moins de 1 an;;Appart 4P+;8,9;10,1;11,3;12,9;14,5;11,5;650;750;900;1000;1286;897;78;212;;Estimation directe
B1300;2024;L1300;;;;;2. Entre 1946-1970;;2. 1 an et plus;;;8,8;10,3;11,9;14,0;16,8;11,7;471;563;672;800;1000;713;61;4465;;Estimation directe
B1300;2024;L1300;;;;;2. Entre 1946-1970;;2. 1 an et plus;;Maison 1-3P;7,6;9,4;11,7;13,9;18,9;11,7;490;600;750;850;1000;742;63;112;;Estimation directe
B1300;2024;L1300;;;;;2. Entre 1946-1970;;2. 1 an et plus;;Maison 4P+;7,4;8,0;9,2;12,2;14,1;9,9;800;820;1014;1192;1394;1048;106;80;;Estimation directe
B1300;2024;L1300;;;;;2. Entre 1946-1970;;2. 1 an et plus;;Appart 1P;13,0;15,0;16,4;19,6;22,1;16,9;360;410;470;515;589;466;28;538;;Estimation directe
B1300;2024;L1300;;;;;2. Entre 1946-1970;;2. 1 an et plus;;Appart 2P;10,8;11,8;13,5;15,6;18,5;13,7;462;517;584;650;731;592;43;1222;;Estimation directe
B1300;2024;L1300;;;;;2. Entre 1946-1970;;2. 1 an et plus;;Appart 3P;8,9;10,1;11,4;12,7;13,8;11,3;550;625;700;790;897;718;64;1744;;Estimation directe
B1300;2024;L1300;;;;;2. Entre 1946-1970;;2. 1 an et plus;;Appart 4P+;8,1;9,3;10,4;12,2;13,5;10,7;606;700;812;998;1276;896;84;769;;Estimation directe
B1300;2024;L1300;;;;;3. Entre 1971-1990;;;;;9,2;10,3;12,4;15,1;18,2;12,2;500;600;750;977;1290;830;68;3216;46114;Estimation directe
B1300;2024;L1300;;;;;3. Entre 1971-1990;;;;Ensemble 4P+;8,3;9,6;10,8;13,4;15,2;11,2;700;800;998;1290;1627;1084;97;715;13388;Estimation directe
B1300;2024;L1300;;;;;3. Entre 1971-1990;;;;Ensemble 1P;12,1;14,3;17,3;20,0;23,4;17,1;378;429;500;550;645;498;29;709;6615;Estimation directe
B1300;2024;L1300;;;;;3. Entre 1971-1990;;;;Ensemble 2P;10,8;12,0;14,2;16,5;18,6;14,0;500;560;630;713;800;648;46;873;11250;Estimation directe
B1300;2024;L1300;;;;;3. Entre 1971-1990;;;;Ensemble 3P;9,3;10,3;11,8;13,3;15,1;11,9;600;670;760;890;1050;795;67;919;14861;Estimation directe
B1300;2024;L1300;;;;;3. Entre 1971-1990;;1. Moins de 1 an;;;10,4;11,6;13,5;16,1;19,6;13,5;500;600;760;1000;1400;870;64;922;;Estimation directe
B1300;2024;L1300;;;;;3. Entre 1971-1990;;1. Moins de 1 an;;Maison 1-3P;;;;;;;;;;;;;;22;;Estimation directe
B1300;2024;L1300;;;;;3. Entre 1971-1990;;1. Moins de 1 an;;Maison 4P+;;;;;;;;;;;;;;45;;Estimation directe
B1300;2024;L1300;;;;;3. Entre 1971-1990;;1. Moins de 1 an;;Appart 1P;14,3;17,0;19,6;22,3;24,1;19,0;400;431;490;541;650;496;26;241;;Estimation directe
B1300;2024;L1300;;;;;3. Entre 1971-1990;;1. Moins de 1 an;;Appart 2P;12,0;13,5;14,4;15,7;18,0;14,6;527;567;650;730;861;668;46;244;;Estimation directe
B1300;2024;L1300;;;;;3. Entre 1971-1990;;1. Moins de 1 an;;Appart 3P;10,0;11,0;12,4;14,0;16,0;12,7;580;680;775;900;1150;823;65;243;;Estimation directe
B1300;2024;L1300;;;;;3. Entre 1971-1990;;1. Moins de 1 an;;Appart 4P+;9,1;10,3;11,1;12,5;15,6;11,8;700;774;998;1350;1800;1101;93;127;;Estimation directe
B1300;2024;L1300;;;;;3. Entre 1971-1990;;2. 1 an et plus;;;9,0;10,0;12,0;14,7;17,5;11,7;500;600;747;953;1250;816;69;2294;;Estimation directe
B1300;2024;L1300;;;;;3. Entre 1971-1990;;2. 1 an et plus;;Maison 1-3P;10,7;12,4;16,1;18,3;21,4;14,9;550;700;850;1026;1300;866;58;61;;Estimation directe
B1300;2024;L1300;;;;;3. Entre 1971-1990;;2. 1 an et plus;;Maison 4P+;7,3;9,6;11,4;14,5;16,1;10,9;860;1017;1220;1480;1600;1252;115;148;;Estimation directe
B1300;2024;L1300;;;;;3. Entre 1971-1990;;2. 1 an et plus;;Appart 1P;11,9;13,7;16,7;19,1;23,3;16,3;369;420;520;550;645;498;30;464;;Estimation directe
B1300;2024;L1300;;;;;3. Entre 1971-1990;;2. 1 an et plus;;Appart 2P;10,4;11,7;13,3;16,1;17,9;13,3;470;550;620;686;778;623;47;609;;Estimation directe
B1300;2024;L1300;;;;;3. Entre 1971-1990;;2. 1 an et plus;;Appart 3P;9,1;9,9;11,4;12,7;14,6;11,4;588;650;740;823;1000;759;67;617;;Estimation directe
B1300;2024;L1300;;;;;3. Entre 1971-1990;;2. 1 an et plus;;Appart 4P+;8,2;9,3;10,3;12,0;14,0;10,7;672;732;850;1006;1290;927;86;395;;Estimation directe
B1300;2024;L1300;;;;;4. Entre 1991-2005;;;;;10,4;12,4;14,4;17,9;22,0;13,9;500;625;770;1002;1339;852;61;2799;25907;Estimation directe
B1300;2024;L1300;;;;;4. Entre 1991-2005;;;;Ensemble 4P+;9,5;10,5;12,4;13,7;15,0;12,1;801;1000;1185;1442;1623;1222;101;345;5776;Estimation directe
B1300;2024;L1300;;;;;4. Entre 1991-2005;;;;Ensemble 1P;14,1;17,9;20,8;23,2;26,4;19,9;383;440;500;588;650;506;25;541;3898;Estimation directe
B1300;2024;L1300;;;;;4. Entre 1991-2005;;;;Ensemble 2P;12,7;14,4;16,0;18,9;20,8;16,0;538;600;690;770;850;693;43;1144;8627;Estimation directe
B1300;2024;L1300;;;;;4. Entre 1991-2005;;;;Ensemble 3P;10,3;11,8;13,2;14,8;17,8;13,7;650;750;847;973;1180;893;65;769;7606;Estimation directe
B1300;2024;L1300;;;;;4. Entre 1991-2005;;1. Moins de 1 an;;;11,8;13,1;15,5;19,5;22,5;15,4;530;614;750;996;1239;828;54;899;;Estimation directe
B1300;2024;L1300;;;;;4. Entre 1991-2005;;1. Moins de 1 an;;Maison 1-3P;;;;;;;;;;;;;;11;;Estimation directe
B1300;2024;L1300;;;;;4. Entre 1991-2005;;1. Moins de 1 an;;Maison 4P+;;;;;;;;;;;;;;38;;Estimation directe
B1300;2024;L1300;;;;;4. Entre 1991-2005;;1. Moins de 1 an;;Appart 1P;16,9;18,4;22,0;24,0;26,5;21,0;438;485;534;580;630;526;25;203;;Estimation directe
B1300;2024;L1300;;;;;4. Entre 1991-2005;;1. Moins de 1 an;;Appart 2P;13,0;15,0;16,8;19,0;22,4;16,8;550;600;680;750;850;694;41;376;;Estimation directe
B1300;2024;L1300;;;;;4. Entre 1991-2005;;1. Moins de 1 an;;Appart 3P;10,8;12,3;13,0;15,4;17,5;13,5;666;753;850;963;1099;873;65;206;;Estimation directe
B1300;2024;L1300;;;;;4. Entre 1991-2005;;1. Moins de 1 an;;Appart 4P+;9,8;10,2;12,7;14,0;15,0;12,5;758;815;1138;1297;1501;1102;88;65;;Estimation directe
B1300;2024;L1300;;;;;4. Entre 1991-2005;;2. 1 an et plus;;;10,1;12,0;14,1;17,1;20,8;13,5;495;629;780;1016;1366;861;64;1900;;Estimation directe
B1300;2024;L1300;;;;;4. Entre 1991-2005;;2. 1 an et plus;;Maison 1-3P;;;;;;;;;;;;;;42;;Estimation directe
B1300;2024;L1300;;;;;4. Entre 1991-2005;;2. 1 an et plus;;Maison 4P+;8,6;10,0;12,4;13,3;14,5;11,8;1100;1164;1383;1520;1630;1358;115;72;;Estimation directe
B1300;2024;L1300;;;;;4. Entre 1991-2005;;2. 1 an et plus;;Appart 1P;13,8;16,9;20,6;23,2;24,9;19,5;350;428;470;590;659;497;26;338;;Estimation directe
B1300;2024;L1300;;;;;4. Entre 1991-2005;;2. 1 an et plus;;Appart 2P;12,3;13,9;16,0;18,3;20,0;15,8;530;600;690;770;844;685;43;754;;Estimation directe
B1300;2024;L1300;;;;;4. Entre 1991-2005;;2. 1 an et plus;;Appart 3P;9,6;11,2;12,9;14,4;16,9;13,1;650;730;820;961;1120;867;66;524;;Estimation directe
B1300;2024;L1300;;;;;4. Entre 1991-2005;;2. 1 an et plus;;Appart 4P+;9,7;10,5;11,8;13,5;14,9;12,0;800;900;1035;1250;1442;1103;92;170;;Estimation directe
B1300;2024;L1300;;;;;5. Après 2005;;;;;11,2;12,5;14,2;16,2;18,0;13,8;537;630;750;900;1152;804;58;7954;40851;Estimation directe
B1300;2024;L1300;;;;;5. Après 2005;;;;Ensemble 4P+;8,5;10,9;12,2;14,1;16,1;12,4;750;952;1185;1300;1537;1174;95;724;6699;Estimation directe
B1300;2024;L1300;;;;;5. Après 2005;;;;Ensemble 1P;13,4;15,0;16,6;18,7;22,2;16,7;361;418;465;540;617;482;29;743;4050;Estimation directe
B1300;2024;L1300;;;;;5. Après 2005;;;;Ensemble 2P;12,5;14,0;15,6;17,1;18,7;15,4;538;600;650;719;780;660;43;3395;14854;Estimation directe
B1300;2024;L1300;;;;;5. Après 2005;;;;Ensemble 3P;11,2;12,2;13,4;14,6;16,6;13,4;700;750;830;925;1020;854;64;3092;15248;Estimation directe
B1300;2024;L1300;;;;;5. Après 2005;;1. Moins de 1 an;;;11,6;13,3;14,8;16,8;18,7;14,7;531;633;743;900;1100;802;54;2715;;Estimation directe
B1300;2024;L1300;;;;;5. Après 2005;;1. Moins de 1 an;;Maison 1-3P;;;;;;;;;;;;;;27;;Estimation directe
B1300;2024;L1300;;;;;5. Après 2005;;1. Moins de 1 an;;Maison 4P+;;;;;;;;;;;;;;42;;Estimation directe
B1300;2024;L1300;;;;;5. Après 2005;;1. Moins de 1 an;;Appart 1P;12,6;15,0;16,7;18,5;23,0;16,4;358;435;480;540;600;483;29;296;;Estimation directe
B1300;2024;L1300;;;;;5. Après 2005;;1. Moins de 1 an;;Appart 2P;12,3;14,2;15,9;17,5;19,4;15,7;540;600;660;713;780;671;43;1265;;Estimation directe
B1300;2024;L1300;;;;;5. Après 2005;;1. Moins de 1 an;;Appart 3P;11,5;12,8;14,2;15,3;17,3;14,1;720;780;850;940;1100;874;62;950;;Estimation directe
B1300;2024;L1300;;;;;5. Après 2005;;1. Moins de 1 an;;Appart 4P+;9,7;10,6;12,1;12,5;14,1;11,8;818;936;1009;1100;1328;1057;90;135;;Estimation directe
B1300;2024;L1300;;;;;5. Après 2005;;2. 1 an et plus;;;10,9;12,3;14,0;15,8;17,7;13,5;538;630;750;905;1200;805;60;5239;;Estimation directe
B1300;2024;L1300;;;;;5. Après 2005;;2. 1 an et plus;;Maison 1-3P;10,9;12,6;14,0;16,5;17,6;13,8;600;721;900;990;1110;872;63;63;;Estimation directe
B1300;2024;L1300;;;;;5. Après 2005;;2. 1 an et plus;;Maison 4P+;9,5;11,8;13,3;14,4;16,3;12,8;955;1155;1250;1300;1602;1286;100;102;;Estimation directe
B1300;2024;L1300;;;;;5. Après 2005;;2. 1 an et plus;;Appart 1P;13,4;15,0;16,5;18,7;22,2;16,9;361;404;455;548;617;480;28;445;;Estimation directe
B1300;2024;L1300;;;;;5. Après 2005;;2. 1 an et plus;;Appart 2P;12,5;13,8;15,3;16,9;18,6;15,3;538;592;650;710;769;649;42;2109;;Estimation directe
B1300;2024;L1300;;;;;5. Après 2005;;2. 1 an et plus;;Appart 3P;11,1;11,9;12,9;14,3;15,6;13,1;700;750;820;904;1000;837;64;2075;;Estimation directe
B1300;2024;L1300;;;;;5. Après 2005;;2. 1 an et plus;;Appart 4P+;7,3;9,4;11,2;13,2;13,8;10,9;600;782;980;1084;1221;955;87;445;;Estimation directe
B1300;2024;L1300;;;;1. Avant 1946;;;;;;8,8;10,8;12,9;15,7;18,8;12,2;444;511;630;785;992;691;57;8800;58102;Estimation directe
B1300;2024;L1300;;;;1. Avant 1946;;;;Maison;;7,9;9,5;11,6;14,8;17,0;11,0;560;680;815;1015;1350;901;82;374;7523;Estimation directe
B1300;2024;L1300;;;;1. Avant 1946;;;;Appart 1P;;11,9;14,2;16,9;20,5;23,7;16,8;365;414;477;520;600;478;29;1892;9927;Estimation directe
B1300;2024;L1300;;;;1. Avant 1946;;;;Appart 2P;;10,3;12,0;13,9;15,8;18,0;13,7;449;500;580;650;714;580;42;3588;21032;Estimation directe
B1300;2024;L1300;;;;1. Avant 1946;;;;Appart 3P;;8,4;10,0;11,6;13,3;15,2;11,5;540;624;720;821;950;736;64;2257;14357;Estimation directe
B1300;2024;L1300;;;;1. Avant 1946;;;;Appart 4P+;;6,9;8,5;10,1;11,8;13,8;10,3;622;750;900;1264;1603;1035;101;689;5262;Estimation directe
B1300;2024;L1300;;;;1. Avant 1946;;;;Ensemble 1P;;11,9;14,2;16,9;20,5;23,7;16,8;365;414;478;520;600;479;29;1902;10193;Estimation directe
B1300;2024;L1300;;;;1. Avant 1946;;;;Ensemble 2P;;10,3;12,0;14,0;16,1;18,3;13,7;450;500;580;650;738;586;43;3646;22555;Estimation directe
B1300;2024;L1300;;;;1. Avant 1946;;;;Ensemble 3P;;8,3;9,8;11,6;13,5;15,7;11,5;549;647;730;838;980;755;65;2414;17011;Estimation directe
